,date_cd,dong,temp,hum,redust,pm10,pm25,o3,no2,co,so2,buspop,stops,consts
194,20221024,서교동,15.0,40.0,7.0,25,12,0.024,0.017,0.4,0.003,51568,94,30
195,20221024,아현동,14.0,59.0,10.0,25,12,0.024,0.017,0.4,0.003,12875,29,30
196,20221024,합정동,13.0,67.0,16.0,25,12,0.024,0.017,0.4,0.003,6197,22,30
197,20230120,연남동,-3.0,34.0,264.0,59,19,0.022,0.017,0.4,0.003,6692,14,46
198,20230131,연남동,3.0,53.0,3.0,32,15,0.014,0.034,0.6,0.003,6600,14,48
199,20230208,연남동,5.0,44.0,18.0,63,50,0.02,0.031,0.7,0.004,6998,14,52
200,20220209,남가좌동,6.0,33.0,49.0,34,24,0.015,0.041,0.8,0.006,19893,26,23
201,20220209,홍은동,5.0,32.0,31.0,34,24,0.015,0.041,0.8,0.006,25556,104,23
202,20220311,남가좌동,14.0,65.0,4.0,65,39,0.038,0.037,0.8,0.005,20290,26,23
203,20220311,홍은동,14.0,62.0,17.0,65,39,0.038,0.037,0.8,0.005,26406,104,23
204,20220318,남가좌동,10.0,61.0,33.0,5,1,0.041,0.008,0.3,0.001,19627,26,23
205,20220318,홍은동,10.0,61.0,48.0,5,1,0.041,0.008,0.3,0.001,25942,104,23
206,20220504,남가좌동,25.0,33.0,14.0,37,16,0.056,0.021,0.6,0.004,25930,26,24
207,20220504,홍은동,25.0,32.0,27.0,37,16,0.056,0.021,0.6,0.004,32234,104,24
208,20220504,북가좌동,25.0,33.0,21.0,37,16,0.056,0.021,0.6,0.004,18973,48,24
209,20220504,홍제동,24.0,32.0,7.0,37,16,0.056,0.021,0.6,0.004,37478,94,24
210,20220531,남가좌동,27.0,26.0,14.0,26,6,0.038,0.016,0.3,0.004,25244,26,27
211,20220531,홍은동,28.0,32.0,38.0,26,6,0.038,0.016,0.3,0.004,33071,104,27
212,20220531,북가좌동,27.0,27.0,25.0,26,6,0.038,0.016,0.3,0.004,18905,48,27
213,20220531,홍제동,26.0,34.0,13.0,26,6,0.038,0.016,0.3,0.004,37077,94,27
214,20220712,남가좌동,30.0,62.0,9.0,9,3,0.03,0.011,0.3,0.002,23189,26,29
215,20220712,홍은동,31.0,63.0,10.0,9,3,0.03,0.011,0.3,0.002,30070,104,29
216,20220712,북가좌동,31.0,62.0,10.0,9,3,0.03,0.011,0.3,0.002,18823,48,29
217,20220712,홍제동,29.0,64.0,6.0,9,3,0.03,0.011,0.3,0.002,35844,94,29
218,20220826,남가좌동,29.0,60.0,6.0,30,19,0.05,0.011,0.5,0.003,23494,26,32
219,20220826,홍은동,29.0,63.0,33.0,30,19,0.05,0.011,0.5,0.003,30365,104,32
220,20220826,북가좌동,29.0,62.0,9.0,30,19,0.05,0.011,0.5,0.003,18997,48,32
221,20220826,홍제동,29.0,59.0,3.0,30,19,0.05,0.011,0.5,0.003,36034,94,32
222,20221007,남가좌동,18.0,60.0,7.0,10,3,0.016,0.007,0.2,0.003,25645,26,34
223,20221007,홍은동,19.0,61.0,22.0,10,3,0.016,0.007,0.2,0.003,33271,104,34
224,20221007,북가좌동,19.0,58.0,17.0,10,3,0.016,0.007,0.2,0.003,19094,48,34
225,20221007,홍제동,18.0,63.0,7.0,10,3,0.016,0.007,0.2,0.003,37775,94,34
226,20221031,남가좌동,19.0,48.0,11.0,21,10,0.027,0.017,0.5,0.004,25095,26,34
227,20221031,홍은동,20.0,49.0,23.0,21,10,0.027,0.017,0.5,0.004,31225,104,34
228,20221031,북가좌동,20.0,50.0,26.0,21,10,0.027,0.017,0.5,0.004,17795,48,34
229,20221031,홍제동,19.0,52.0,7.0,21,10,0.027,0.017,0.5,0.004,35770,94,34
230,20221205,남가좌동,0.0,27.0,26.0,20,10,0.019,0.019,0.8,0.004,25063,26,41
231,20221205,홍은동,0.0,29.0,23.0,20,10,0.019,0.019,0.8,0.004,31086,104,41
232,20230131,남가좌동,7.0,51.0,9.0,37,13,0.017,0.031,0.5,0.004,21936,26,62
233,20230131,홍은동,4.0,50.0,1.0,37,13,0.017,0.031,0.5,0.004,27043,104,62
234,20230208,남가좌동,7.0,36.0,37.0,64,47,0.025,0.027,0.8,0.004,22696,26,63
235,20230208,홍은동,7.0,31.0,45.0,64,47,0.025,0.027,0.8,0.004,29130,104,63
236,20220209,역촌동,6.0,32.0,69.0,32,22,0.015,0.037,0.7,0.003,13489,30,1
237,20220209,진관동,6.0,32.0,47.0,32,22,0.015,0.037,0.7,0.003,20709,82,1
238,20220311,역촌동,18.0,53.0,70.0,73,42,0.036,0.036,0.7,0.002,13398,30,1
239,20220311,진관동,18.0,55.0,31.0,73,42,0.036,0.036,0.7,0.002,20762,82,1
240,20220502,역촌동,19.0,36.0,37.0,52,25,0.038,0.016,0.4,0.003,14512,30,5
241,20220502,진관동,18.0,36.0,48.0,52,25,0.038,0.016,0.4,0.003,23244,82,5
242,20220502,녹번동,19.0,26.0,20.0,52,25,0.038,0.016,0.4,0.003,13872,17,5
243,20220502,수색동,17.0,44.0,40.0,52,25,0.038,0.016,0.4,0.003,8026,17,5
